CA-2017-140326,2017-09-04 00:00:00.000,HW-14935,825.174,9,0.3,-117.882,Corporate,Furniture,Bookcases,Chicago,Illinois,Central,First Class
CA-2017-125472,2017-05-30 00:00:00.000,BD-11725,241.96,2,0,33.8744,Consumer,Furniture,Bookcases,Lafayette,Louisiana,South,First Class
CA-2014-105249,2014-11-28 00:00:00.000,DH-13675,411.332,4,0.15,-4.8392,Home Office,Furniture,Bookcases,San Francisco,California,West,Same Day
CA-2015-130785,2015-09-05 00:00:00.000,AG-10900,411.332,4,0.15,-4.8392,Consumer,Furniture,Bookcases,San Diego,California,West,Standard Class
CA-2014-133592,2014-12-31 00:00:00.000,KM-16375,341.96,2,0,78.6508,Home Office,Furniture,Bookcases,Providence,Rhode Island,East,Standard Class
CA-2014-156349,2014-05-26 00:00:00.000,ML-17395,290.666,2,0.15,27.3568,Corporate,Furniture,Bookcases,Los Angeles,California,West,Standard Class
CA-2015-118423,2015-03-24 00:00:00.000,DP-13390,359.058,3,0.3,-35.9058,Home Office,Furniture,Bookcases,Peoria,Illinois,Central,First Class
CA-2016-165848,2016-06-04 00:00:00.000,EN-13780,136.784,1,0.2,5.1294,Consumer,Furniture,Bookcases,New York City,New York,East,Same Day
US-2014-123183,2014-11-19 00:00:00.000,GR-14560,1025.88,6,0,235.9524,Corporate,Furniture,Bookcases,Wilmington,Delaware,East,Standard Class
CA-2017-161200,2017-08-06 00:00:00.000,SV-20365,145.74,3,0,23.3184,Consumer,Furniture,Bookcases,Lafayette,Louisiana,South,Second Class
US-2016-166660,2016-01-30 00:00:00.000,TB-21250,48.58,1,0,7.7728,Consumer,Furniture,Bookcases,Seattle,Washington,West,Second Class
CA-2017-126914,2017-06-15 00:00:00.000,JE-15715,77.728,2,0.2,-3.8864,Consumer,Furniture,Bookcases,Monroe,North Carolina,South,Standard Class
CA-2017-116946,2017-12-19 00:00:00.000,TS-21505,102.018,7,0.7,-183.6324,Consumer,Furniture,Bookcases,Parker,Colorado,West,Standard Class
CA-2014-156790,2014-08-08 00:00:00.000,VG-21790,155.456,4,0.2,-7.7728,Consumer,Furniture,Bookcases,Jacksonville,Florida,South,Second Class
CA-2015-168480,2015-09-21 00:00:00.000,DM-12955,194.32,4,0,31.0912,Corporate,Furniture,Bookcases,Lincoln Park,Michigan,Central,Standard Class
CA-2014-140487,2014-06-14 00:00:00.000,SR-20425,212.94,3,0,57.4938,Home Office,Furniture,Bookcases,Detroit,Michigan,Central,Standard Class
US-2014-156559,2014-08-19 00:00:00.000,LH-16900,638.82,9,0,172.4814,Consumer,Furniture,Bookcases,Jonesboro,Arkansas,South,Standard Class
US-2015-164238,2015-08-16 00:00:00.000,JW-15955,301.47,3,0.5,-204.9996,Consumer,Furniture,Bookcases,Philadelphia,Pennsylvania,East,Standard Class
US-2016-110170,2016-09-27 00:00:00.000,HM-14860,956.6648,7,0.32,-225.0976,Corporate,Furniture,Bookcases,Huntsville,Texas,Central,Standard Class
US-2016-131611,2016-11-05 00:00:00.000,EP-13915,956.6648,7,0.32,-225.0976,Consumer,Furniture,Bookcases,Houston,Texas,Central,Standard Class
CA-2017-168641,2017-11-24 00:00:00.000,KA-16525,321.568,2,0.2,-16.0784,Consumer,Furniture,Bookcases,New York City,New York,East,Standard Class
CA-2017-137449,2017-06-29 00:00:00.000,ME-17725,409.9992,3,0.32,-96.4704,Consumer,Furniture,Bookcases,Dallas,Texas,Central,First Class
CA-2017-140963,2017-06-10 00:00:00.000,MT-18070,514.165,5,0.15,-30.245,Home Office,Furniture,Bookcases,Los Angeles,California,West,First Class
CA-2016-149762,2016-12-03 00:00:00.000,RD-19720,205.666,2,0.15,-12.098,Consumer,Furniture,Bookcases,Morgan Hill,California,West,Standard Class
CA-2016-152688,2016-10-17 00:00:00.000,NR-18550,120.98,1,0,12.098,Consumer,Furniture,Bookcases,Perth Amboy,New Jersey,East,First Class
CA-2016-156251,2016-08-13 00:00:00.000,TS-21160,241.96,2,0,24.196,Corporate,Furniture,Bookcases,West Allis,Wisconsin,Central,Second Class
CA-2017-108070,2017-04-16 00:00:00.000,JE-15745,102.833,1,0.15,-6.049,Consumer,Furniture,Bookcases,San Jose,California,West,Standard Class
CA-2014-131247,2014-03-30 00:00:00.000,GA-14725,205.666,2,0.15,-12.098,Consumer,Furniture,Bookcases,San Francisco,California,West,Standard Class
CA-2014-101931,2014-10-28 00:00:00.000,TS-21370,616.998,6,0.15,-36.294,Corporate,Furniture,Bookcases,Los Angeles,California,West,First Class
CA-2014-154599,2014-04-12 00:00:00.000,KN-16450,308.499,3,0.15,-18.147,Corporate,Furniture,Bookcases,Redondo Beach,California,West,Standard Class
CA-2014-166744,2014-09-20 00:00:00.000,DN-13690,362.94,3,0,36.294,Consumer,Furniture,Bookcases,Columbia,Maryland,East,Standard Class
CA-2015-163965,2015-11-20 00:00:00.000,SS-20875,290.352,3,0.2,-36.294,Consumer,Furniture,Bookcases,Miami,Florida,South,Standard Class
CA-2015-137974,2015-04-16 00:00:00.000,LL-16840,523.26,9,0,125.5824,Consumer,Furniture,Bookcases,Waynesboro,Virginia,South,First Class
CA-2015-100454,2015-11-20 00:00:00.000,BM-11650,186.048,4,0.2,9.3024,Corporate,Furniture,Bookcases,New York City,New York,East,Standard Class
CA-2017-141201,2017-12-09 00:00:00.000,DB-12910,148.257,3,0.15,15.6978,Home Office,Furniture,Bookcases,Salinas,California,West,Second Class
CA-2017-134565,2017-06-11 00:00:00.000,TB-21400,174.42,3,0,41.8608,Consumer,Furniture,Bookcases,Seattle,Washington,West,Second Class
US-2017-169551,2017-07-07 00:00:00.000,RL-19615,87.21,3,0.5,-45.3492,Consumer,Furniture,Bookcases,Philadelphia,Pennsylvania,East,First Class
CA-2016-157707,2016-10-10 00:00:00.000,CC-12610,90.882,3,0.7,-190.8522,Corporate,Furniture,Bookcases,Denver,Colorado,West,First Class
CA-2017-159149,2017-02-17 00:00:00.000,CR-12820,89.0664,1,0.32,-17.0274,Home Office,Furniture,Bookcases,Houston,Texas,Central,First Class
US-2017-133200,2017-05-06 00:00:00.000,DB-13555,623.4648,7,0.32,-119.1918,Corporate,Furniture,Bookcases,Fort Worth,Texas,Central,Standard Class
CA-2014-144666,2014-11-09 00:00:00.000,JP-15520,222.666,2,0.15,10.4784,Consumer,Furniture,Bookcases,San Francisco,California,West,Second Class
CA-2014-166863,2014-06-20 00:00:00.000,SC-20020,193.0656,4,0.32,-19.8744,Consumer,Furniture,Bookcases,Plano,Texas,Central,Standard Class
CA-2015-137925,2015-11-30 00:00:00.000,JL-15235,681.408,12,0.2,42.588,Consumer,Furniture,Bookcases,New York City,New York,East,Standard Class
CA-2015-143364,2015-07-14 00:00:00.000,TG-21310,127.764,6,0.7,-191.646,Consumer,Furniture,Bookcases,Mesa,Arizona,West,Second Class
US-2016-106600,2016-04-08 00:00:00.000,RM-19375,354.9,5,0,88.725,Consumer,Furniture,Bookcases,Columbus,Georgia,South,First Class
US-2017-167402,2017-01-13 00:00:00.000,CP-12085,212.94,3,0,53.235,Corporate,Furniture,Bookcases,Springfield,Missouri,Central,Second Class
CA-2017-131954,2017-01-21 00:00:00.000,DS-13030,84.98,1,0,18.6956,Home Office,Furniture,Bookcases,Seattle,Washington,West,Standard Class
CA-2016-123533,2016-11-24 00:00:00.000,SC-20050,339.92,5,0.2,8.498,Home Office,Furniture,Bookcases,Hialeah,Florida,South,Standard Class
CA-2016-117681,2016-04-09 00:00:00.000,HF-14995,556.665,5,0.15,6.549,Consumer,Furniture,Bookcases,Los Angeles,California,West,Standard Class
CA-2016-152156,2016-11-08 00:00:00.000,CG-12520,261.96,2,0,41.9136,Consumer,Furniture,Bookcases,Henderson,Kentucky,South,Second Class
CA-2017-110198,2017-05-01 00:00:00.000,AG-10900,314.352,3,0.2,-15.7176,Consumer,Furniture,Bookcases,Coral Springs,Florida,South,First Class
CA-2017-159793,2017-08-25 00:00:00.000,SV-20365,130.98,2,0.5,-89.0664,Consumer,Furniture,Bookcases,Philadelphia,Pennsylvania,East,Standard Class
CA-2017-144491,2017-03-27 00:00:00.000,CJ-12010,1023.332,5,0.32,-30.098,Consumer,Furniture,Bookcases,Houston,Texas,Central,Standard Class
US-2017-132059,2017-09-23 00:00:00.000,AP-10915,180.588,2,0.7,-240.784,Consumer,Furniture,Bookcases,Fort Collins,Colorado,West,Standard Class
CA-2017-142461,2017-05-30 00:00:00.000,KT-16480,204.6664,1,0.32,-6.0196,Consumer,Furniture,Bookcases,Dallas,Texas,Central,Second Class
CA-2017-115105,2017-02-06 00:00:00.000,BD-11770,240.784,1,0.2,30.098,Consumer,Furniture,Bookcases,New York City,New York,East,Standard Class
CA-2016-147137,2016-07-04 00:00:00.000,AA-10645,1279.165,5,0.15,225.735,Consumer,Furniture,Bookcases,San Francisco,California,West,First Class
CA-2015-130183,2015-11-13 00:00:00.000,PO-18850,613.9992,3,0.32,-18.0588,Consumer,Furniture,Bookcases,Houston,Texas,Central,Standard Class
CA-2015-133585,2015-03-01 00:00:00.000,CM-12715,1227.9984,6,0.32,-36.1176,Corporate,Furniture,Bookcases,Houston,Texas,Central,First Class
CA-2016-102981,2016-09-06 00:00:00.000,MO-17500,722.352,3,0.2,90.294,Consumer,Furniture,Bookcases,New York City,New York,East,Second Class
CA-2015-162950,2015-06-28 00:00:00.000,DW-13585,482.94,6,0.5,-376.6932,Corporate,Furniture,Bookcases,Troy,Ohio,East,Second Class
